order_id,customer_id,date,nearest_warehouse,shopping_cart,order_price,delivery_charges,customer_lat,customer_long,coupon_discount,order_total,season,is_expedited_delivery,distance_to_nearest_warehouse,latest_customer_review,is_happy_customer
ORD377463,ID3743608254,2019-06-20,Thompson,"[('Universe Note', 2), ('Lucent 330S', 1), ('Candle Inferno', 1), ('Alcon 10', 1)]",17510,51.19,-37.8221988,144.94762269999995,5,16685.69,Winter,False,1.0615,just buy a $10 android phone instead what a piece of crap. i spend as much time troubleshooting this $300 phone as i did a $10 android phone. i’m very disappointed and i!and i’m only like two weeks past the ability to return the damn thing,False
ORD482178,ID4716795332,2019-11-20,Thompson,"[('Lucent 330S', 2), ('Olivia x460', 1), ('iAssist Line', 2), ('iStream', 2)]",8435,102.64,-37.8192834,144.95270119999995,10,7694.14,Spring,True,0.887,"i own the first and second generation thunder line.  i think i prefer the volume ring of the first gen better than the buttons on the second gen, but still more than does the job and great for the price i got it for.  i'd still definitely recommend.",True
ORD147079,ID1224821948,2019-11-17,nickolson,"[('Candle Inferno', 2), ('iAssist Line', 1), ('Olivia x460', 2), ('Toshika 750', 2)]",14175,98.82,-37.8120823,144.9383737,5,13565.07,Spring,True,0.7675,most people will go with a bigger more sofisticated ipad or olivia but this is a good product for a child to pass time or someone not wanting all the bells and whistles,True
ORD006037,ID3240572176,2019-07-26,Thompson,"[('Thunder line', 1), ('Universe Note', 1), ('Lucent 330S', 1), ('iAssist Line', 1)]",9085,68.83,-37.8056525,144.9309168,25,6882.58,Winter,False,0.9984,**positive review** good buy great price and my favorite no surprises. mad props to the seller! good s***,True
ORD472716,ID0123087089,2019-04-28,Thompson,"[('iAssist Line', 1), ('Olivia x460', 1)]",3450,78.83,-37.814831700000006,144.9554309,25,2666.33,Autumn,True,0.7736,"mint condition phone is brand new, only minimum signs of damage in the box, and headphones missing. even better than what i was expecting. so happy",True
ORD021780,ID0367779674,2019-01-29,Nickolson,"[('Toshika 750', 1), ('Lucent 330S', 1), ('Universe Note', 2), ('pearTV', 2)]",25070,56.64,-37.8245789,144.969445,0,25126.64,Summer,False,0.6662,nope nope,False
ORD180076,ID0113535179,2019-04-02,Nickolson,"[('pearTV', 1), ('iAssist Line', 2)]",10760,48.8,-37.8178113,144.9643523,15,9194.8,Autumn,False,1.9948,i order the gold and didn’t get it color i ... i order the gold and didn’t get it color i want and the phone it not working poperty working over sea so i not in us now i’m not happy,False
ORD143064,ID0777813987,2019-04-26,Thompson,"[('Candle Inferno', 1), ('Thunder line', 2)]",4790,80.99,-37.80383920000001,144.95632709999995,10,4391.99,Autumn,True,1.2767,great product. works well,True
ORD162047,ID0364845517,2019-26-02,Bakers,"[('pearTV', 1), ('Universe Note', 1), ('iStream', 2), ('Lucent 330S', 1)]",11290,101.06,-37.80124970000001,144.9806273,25,8568.56,Summer,True,1.6118,"great purchase!! great phone, came unlocked in new condition. great purchase so far i highly recommend.",True
ORD483408,ID5406797164,2019-08-13,Bakers,"[('Candle Inferno', 2), ('iStream', 2), ('iAssist Line', 1), ('Alcon 10', 1)]",12335,58.76,-37.8011595,145.0145796,10,11160.26,Winter,True,1.9655,one star the phone stopped working within 60 days.,False
ORD426931,ID1728565034,2019-10-05,Thompson,"[('Thunder line', 1), ('Toshika 750', 1), ('pearTV', 1), ('Olivia x460', 2)]",15260,102.36,-37.8231328,144.9517408,25,11547.36,Spring,True,0.8048,best android phone. this is the best android phone i've ever owned. got it for a great price. and google is giving it many of the pixel 4 features.,True
ORD472182,ID1224821945,2019-07-11,Thompson,"[('iStream', 1), ('Lucent 330S', 2), ('Toshika 750', 2)]",11250,77.5,-37.8123375,144.93852280000004,0,11327.5,Winter,True,0.7525,love this phone what a great phone. it actually fits in my hand and i can reach both sides of the screen with the same finger. great camera. quick start up. had a little difficulty getting my carrier service to work at first but it was operator error.,True
ORD184530,ID3313210941,2019-03-10,Nickolson,"[('iAssist Line', 2), ('Olivia x460', 2), ('Lucent 330S', 1), ('Universe Note', 2)]",15030,61.78,-37.8184925,144.9670821,25,11334.28,Autumn,True,0.2174,"nice phone pros: resolution, camera, user friendly interface, handy & fast. cons: battery life, fingerprint sensor is not working when you add a screen protector(may be due to thinkness of the protector).",True
ORD435641,ID4353912826,2019-03-15,Bakers,"[('Alcon 10', 2), ('iStream', 1), ('iAssist Line', 1)]",20275,86.53,-37.82504229999999,145.0129146,25,15292.78,Autumn,True,2.2854,"works beautifully, excellent sound.",True
ORD304674,ID1496246612,2019-03-06,Nickolson,"[('Universe Note', 1), ('Toshika 750', 1), ('pearTV', 1), ('Olivia x460', 2)]",16530,80.56,-37.8258488,144.9792724,15,16557.25,Autumn,True,1.1759,we love it (it was a gift for my wife) it's been since january since i purchased this phone. we love it (it was a gift for my wife). no problem in getting phone service on it. by the way ting is awesome service if you are looking for a provider.,True
ORD167982,ID4421481868,2019-10-06,Nickolson,"[('Alcon 10', 2), ('iStream', 1)]",18050,106.09,-37.80448670000001,144.9710562,15,15448.59,Spring,False,1.5761,"the phone is great! the phone is great! i was worrying that the phone will have scratches or will be locked, but luckily it was not the case.",True
ORD355948,ID5406797168,2019-03-01,Bakers,"[('Toshika 750', 2), ('iAssist Line', 1), ('pearTV', 1)]",17175,83.22,-37.8003197,145.0098041,25,12964.47,Autumn,True,1.6742,five stars just perfect. i have a olivia note4 and my wife just wanted a cellphone with similar quality.,True
ORD097772,ID4716795186,2019-30-07,Thompson,"[('iAssist Line', 2), ('Thunder line', 1), ('Universe Note', 1), ('Candle Inferno', 2)]",10940,65.4,-37.8192438,144.9518413,15,9364.4,Winter,False,0.8433,works great for everything we want our daughter to do,True
ORD116319,ID1131986160,08-09-2019,Thompson,"[('Candle Inferno', 2), ('pearTV', 1), ('Olivia x460', 2)]",9620,96.22,-37.8152208,144.9450228,15,8273.22,Spring,True,0.3359,"so good i bought it twice! after sacrificing my last google pixel xl 128 gb to the east river, i have replaced it with a new one.",True
ORD369386,ID4754200365,2019-03-04,Thompson,"[('Alcon 10', 2), ('Universe Note', 1), ('Lucent 330S', 2), ('iStream', 1)]",23960,82.02,-37.8149857,144.9274207,25,18052.02,Autumn,True,0.679,excellent excelltnt,True
ORD201459,ID6167440992,2019-01-25,Nickolson,"[('Olivia x460', 2), ('Alcon 10', 2), ('iAssist Line', 1), ('Toshika 750', 1)]",26895,95.03,-37.8123619,144.9621441,10,24300.53,Summer,True,0.9517,five stars my daughter loves it,True
ORD036297,ID3215106461,2019-10-06,Thompson,"[('Lucent 330S', 1), ('Candle Inferno', 1), ('Alcon 10', 2)]",21355,73.81,-37.81050689999999,144.9501256,0,21428.81,Spring,False,0.3611,"great great phone, great camera, i love the screening feature and the google assitand",True
ORD211454,ID0363406540,2019-10-23,Thompson,"[('Lucent 330S', 2), ('Universe Note', 2), ('Thunder line', 2), ('iAssist Line', 1)]",15945,95.6,-37.8000371,144.96362299999996,0,16040.6,Spring,True,2.0244,"worked fine for about a month (which coincidentally is the length ... got the phone, worked fine for about a month (which coincidentally is the length of the warranty) and now the screen randomly spasms and misclicks misreads clicks etc. it works about half the time, which is quite poor for 600 some dollars",False
ORD107290,ID0634784120,12-11-2019,Thompson,"[('iAssist Line', 2), ('Olivia x460', 2), ('Toshika 750', 2)]",15540,78.12,-37.8139739,144.9377565,10,14064.12,Spring,False,0.8317,phone is excellent but does not come with sd card phone is excellent but does not come with sd card. great price like paying half if bought from cell company. .,True
ORD456221,ID3419354750,2019-01-27,Nickolson,"[('Thunder line', 2), ('Universe Note', 2), ('Olivia x460', 1), ('iStream', 1)]",12635,95.07,-37.8093671,144.9719597,0,12730.07,Summer,True,1.0488,the battery didnt keep a charge after a few days and had to be recharged three or more times a day so i returned it. still wait i liked the size and feel of the phone. i did get a refurbished phone and it looked brand new.,True
ORD312911,ID1449431395,2019-12-21,Nickolson,"[('Olivia x460', 1), ('Lucent 330S', 2), ('Thunder line', 2), ('Alcon 10', 2)]",25945,95.78,-37.8129475,144.9783171,25,19554.53,Summer,True,0.9947,great great phone... great battery... cant find any problems,False
ORD160884,ID0030287401,2019-07-13,Nickolson,"[('Lucent 330S', 1), ('Olivia x460', 1), ('pearTV', 1), ('iAssist Line', 1)]",10990,81.82,-37.8028873,144.9682009,5,10522.32,Winter,True,1.7526,None,True
ORD165410,ID2383211195,2019-01-25,Nickolson,"[('Candle Inferno', 1), ('iAssist Line', 1), ('Alcon 10', 1), ('Toshika 750', 1)]",15925,95.93,-37.8095171,144.96373630000005,25,12039.68,Summer,True,1.1325,five stars very well,True
ORD287146,ID1492410200,2019-11-06,Nickolson,"[('Toshika 750', 2), ('Thunder line', 2)]",11280,83.12,-37.8058495,144.96310630000005,0,13083.12,Spring,False,1.5278,"great phone,! i'm in love with this phone! it works well and has good features.. glad i bought this",True
ORD287386,ID6167441061,2019-05-09,Nickolson,"[('Alcon 10', 2), ('Thunder line', 1), ('iStream', 2), ('iAssist Line', 2)]",24830,63.58,-37.8132849,144.96287519999996,15,21169.08,Autumn,True,0.8331,two stars you just get what you pay for.,False
ORD482683,ID6167417920,2019-02-01,Thompson,"[('iAssist Line', 1), ('Alcon 10', 2)]",20125,94.67,-37.81630560000001,144.9555899,15,17200.92,Summer,False,0.8515,fun tech toy,True
ORD492364,ID0255059523,2019-03-13,Nickolson,"[('Toshika 750', 2), ('Candle Inferno', 2), ('Lucent 330S', 1), ('Universe Note', 1)]",14180,65.23,-37.8131672,144.97286469999997,0,14245.23,Autumn,False,0.6708,a very happy customer!!!! :d i love my new phone!!!! thank you so much!!!! you guys rock!!!! :d,True
