order_id,customer_id,date,nearest_warehouse,shopping_cart,order_price,delivery_charges,customer_lat,customer_long,coupon_discount,order_total,season,is_expedited_delivery,distance_to_nearest_warehouse,latest_customer_review,is_happy_customer
ORD055086,ID0709951238,2019-04-21,Thompson,"[('Universe Note', 2), ('Olivia x460', 1), ('pearTV', 2), ('Lucent 330S', 1)]",,80.21,-37.8114352,144.935431,0,,Autumn,True,1.0327,five stars good buy,1.0
ORD457366,ID6167489459,2019-02-15,,"[('Candle Inferno', 2), ('iAssist Line', 2), ('Lucent 330S', 2)]",7770.0,73.26,-37.8148803,144.96081999999996,15,6677.76,Summer,False,,five stars it was great,1.0
ORD030511,ID2187972533,2019-01-31,Nickolson,"[('Alcon 10', 1), ('iAssist Line', 1)]",11175.0,61.14,-37.8095691,144.96380209999995,15,9559.89,Summer,False,1.1248,shattered on arrival both arrived shattered. past the time of return before i went to install them.,0.0
ORD479424,ID0250480672,2019-04-13,Bakers,"[('Candle Inferno', 1), ('pearTV', 2)]",13050.0,,-37.8093802,145.0025535,5,12475.52,Autumn,True,0.6475,"i like this phone but neds imprubments good camera, brilliant rich color nice phone fast shipping , i use t-mobile network in california, two lte bars signal only. low speaker sound barely hear the other person",1.0
ORD153282,ID3106293374,2019-04-21,,"[('Lucent 330S', 1), ('Thunder line', 2), ('Toshika 750', 2)]",14230.0,82.04,-37.8067534,144.93257250000005,10,12889.04,Autumn,True,,five stars fan of the note phones from the beginning.,1.0
ORD259198,ID6167489471,2019-08-22,Nickolson,"[('Lucent 330S', 2), ('Thunder line', 1), ('Alcon 10', 2)]",22540.0,61.28,-37.8159634,144.9613069,10,20347.28,Winter,True,0.7819,wi-fi calling issues. wi-fi calling cannot be turn off or on at all. it is always on.,0.0
ORD222165,ID0577456661,2019-08-06,Nickolson,"[('Candle Inferno', 1), ('Alcon 10', 1), ('pearTV', 1)]",15690.0,80.24,-37.8216888,144.98423190000003,0,15770.24,Winter,True,1.3361,my note 8 it's a great phone came in great condition with original charger no problems with the phone also came with the sim tray tool but the retailer stuff would he great.,1.0
ORD184412,ID0428635865,2019-10-22,Nickolson,"[('Lucent 330S', 1), ('iAssist Line', 1), ('Universe Note', 1), ('Alcon 10', 2)]",24805.0,103.4,-37.813295200000006,144.97810890000005,10,22427.9,Spring,True,0.9563,good price so far so good. no issues in 1 month.,1.0
ORD021199,ID1982456970,2019-01-30,Bakers,"[('Thunder line', 2), ('pearTV', 2), ('Alcon 10', 2)]",34880.0,,-37.8174369,144.9952241,25,26233.67,Summer,False,0.8283,everything brand new and perfect working condition everything brand new and perfect working condition. good deal with digico gold return protection. purchased from carolina trader. excellent price too. came with some verizon apps that mostly get in the way.,1.0
ORD453727,ID0368380426,2019-11-28,Nickolson,"[('Thunder line', 1), ('Universe Note', 2)]",9080.0,86.26,-37.7992351,144.9718408,5,8712.26,Spring,False,2.1645,"five stars the phone works excellent, it`s unlooked. the only thing is, that it has not wireless charging function.",1.0
ORD435875,ID0250933628,2019-12-15,Bakers,"[('iAssist Line', 2), ('Olivia x460', 1), ('Alcon 10', 2)]",23575.0,89.57,-37.8248651,145.00733300000005,25,17770.82,Summer,True,1.9677,one star it’s stopped working after barely 2 months of use.,0.0
ORD192781,ID0577356767,2019-02-14,Bakers,"[('Alcon 10', 2), ('Universe Note', 2), ('pearTV', 1)]",31110.0,81.02,-37.8239102,144.99018569999996,10,28080.02,Summer,False,1.6112,i love how i can just push the microphone button on the remote and ask it to open any show and it'll find whether it's on hulu or istream and sign me in and start the show... pretty amazing but each new technology sure is making me lazy or lol :-),1.0
ORD318094,ID0174796849,2019-03-26,,"[('Toshika 750', 1), ('iStream', 2)]",4620.0,78.69,-37.8153021,144.96540269999997,0,4698.69,Autumn,True,,"great phone great phone for good price, new in original att packaging, fast shipping",1.0
ORD366556,ID0418539889,2019-11-07,Bakers,"[('Lucent 330S', 2), ('Alcon 10', 2), ('iStream', 1), ('Candle Inferno', 1)]",20940.0,80.82,-37.8214115,144.9892355,5,19973.82,Spring,False,1.3758,"five stars best smart phone i've had, and works great with t-mobile.",
ORD198201,ID6167265870,2019-07-29,Nickolson,"[('Universe Note', 2), ('iAssist Line', 2)]",11350.0,74.71,-37.81542279999999,144.9666571,5,10857.21,Winter,True,0.4353,"base flip phone long battery fife, and enough built in aps, make this phone very productive. i recommend this phone to anyone just needing basic services.",1.0
ORD418899,ID1492175306,2019-03-09,Thompson,"[('Olivia x460', 1), ('Universe Note', 1), ('iStream', 1), ('Toshika 750', 1)]",9145.0,53.29,-37.8026956,144.9635946,5,8741.04,Autumn,False,1.8292,phone was a stolen phone i read the reviews and did not see anyoe mention this but i went to activate the phone at the at&t store and they set it up to work for me and with in 1 hour my service was suspended because the phone was flagged as a stolen phone. i have requested a refund waiting for approval. do not buy.,0.0
ORD034011,ID4998966832,2019-06-01,,"[('iStream', 1), ('Lucent 330S', 1), ('Universe Note', 2), ('Candle Inferno', 1)]",8710.0,79.1,-37.809775,144.97240109999996,15,7482.6,Winter,True,,my phone great phone! just what i was looking for.,1.0
ORD125891,ID0591435941,2019-07-25,Nickolson,"[('pearTV', 1), ('iAssist Line', 1)]",8535.0,59.09,-37.8187538,144.967203,5,8167.34,Winter,False,0.2072,like new! the alcon i received is in prestine condition and even came with a screen protector already installed. not a single scratch or scuff mark anywhere on the phone. literally is a brand new phone. battery life is at 98%! i’m extremely happy.,1.0
ORD435735,ID3788315451,2019-08-24,Nickolson,"[('iStream', 1), ('Toshika 750', 2), ('iAssist Line', 1), ('Lucent 330S', 1)]",12245.0,63.92,-37.820045,144.9611555,10,11084.42,Winter,False,0.7557,great product at a great price.,1.0
ORD152673,ID5668009822,2019-10-26,Bakers,"[('iAssist Line', 1), ('Olivia x460', 1), ('Toshika 750', 1)]",7770.0,78.66,-37.8102184,145.009017,5,7460.16,Spring,False,1.2126,"great phone awesome phone! i can't believe how good it is. camera is great, processes fast and is very sturdy! very happy and recommend to all my friends and many have purchased and recommended as well",1.0
ORD119796,ID2173272382,2019-10-12,Thompson,"[('Candle Inferno', 1), ('Universe Note', 1)]",3880.0,76.96,-37.8189,144.95384230000005,0,3956.96,Spring,False,0.9139,"comes next to new the battery charges quick, the alcon i got came as described too. perfect for me. the charger cord is pear but not the box.",1.0
ORD041284,ID2016383845,2019-01-09,Bakers,"[('Olivia x460', 2), ('Toshika 750', 2), ('Alcon 10', 2)]",28990.0,74.81,-37.8099791,144.9904089,10,26165.81,Summer,True,0.4242,wrong phone than posted wasn't even boost mobile,
ORD020613,ID6167289291,2019-07-28,,"[('Olivia x460', 1), ('Lucent 330S', 2), ('Alcon 10', 2)]",21585.0,77.14,-37.8094963,144.9637269,15,18424.39,Winter,True,,"works perfect! bought this for my daughter after her last one broke. all she had to do was switch out the sim card, insert her sd card and she was ready to go. she's very happy!",1.0
ORD359558,ID0589431885,2019-12-12,Nickolson,"[('iStream', 2), ('iAssist Line', 1), ('Toshika 750', 2)]",11165.0,92.37,-37.81376470000001,144.9643365,25,8466.12,Summer,True,0.7067,good value few scratches in back otherwise perfect condition doesn't come in original box or have any accessories but a really good value for money,1.0
ORD197819,ID2699585178,2019-07-20,Nickolson,"[('Lucent 330S', 1), ('pearTV', 1)]",7540.0,65.17,-37.8258835,144.9665546,15,6474.17,Winter,False,0.853,"it was better than i thought it would be it was better than i thought it would be. it arrived when it was supposed to. the price was a good price but the express shipping was alittle more than i liked, but the price was so cheap that it didn't actually matter that the shipping was high.",1.0
ORD064161,ID0579383913,2019-06-06,Thompson,"[('Thunder line', 1), ('Universe Note', 1)]",5630.0,79.86,-37.8243707,144.94256299999995,0,5709.86,Winter,True,1.3611,"just a phone it works ok only came with the phone nothing else no booklet ,no ear piece.no glass shield",
ORD120802,ID4637139143,2019-06-14,Thompson,"[('Universe Note', 1), ('iAssist Line', 2), ('Lucent 330S', 2)]",10360.0,61.14,-37.8086333,144.9475917,10,9385.14,Winter,True,0.4521,empty box the package arrived and the inner olivia box had no phone in it. it had manuals and charger but no phone and no charge cord.,0.0
ORD286708,ID0560997614,2019-08-25,,"[('Olivia x460', 1), ('Toshika 750', 1), ('iStream', 2), ('pearTV', 1)]",12155.0,78.37,-37.8100144,144.9360754,10,11017.87,Winter,True,,"quality phone i can't justify spending nearly $1,000 on a phone that will only last for (maybe) three or four years. this one is a great alternative. it's a great size, quality weight, nice option of tones. the camera is not the greatest, unless you're taking photos of receipts or documents.",1.0
ORD422239,ID0477079749,2019-08-17,Bakers,"[('Thunder line', 1), ('iStream', 2), ('iAssist Line', 2), ('Toshika 750', 2)]",15570.0,69.08,-37.8062074,144.9785247,25,11746.58,Winter,False,1.5287,good everything is good,1.0
ORD352547,ID0441587008,2019-04-07,Thompson,"[('iAssist Line', 2), ('pearTV', 2), ('Toshika 750', 2)]",25710.0,60.47,-37.81369229999999,144.9387978,0,25770.47,Autumn,True,0.7362,item lost or stole item was reported as lost or stole,0.0
ORD295476,ID1492169325,2019-05-20,Thompson,"[('Candle Inferno', 2), ('pearTV', 1), ('Olivia x460', 1)]",8395.0,54.82,-37.8015135,144.96390060000004,5,8030.07,Autumn,False,1.9325,"the universe s8plus is the worst phone i have experienced so far the universe s8plus is the worst phone i have experienced so far. i spent a huge amount of money for this phone, but still the rear camera not focusing. however, i went through the youtube videos and other websites to solve the problem, but i couldn't fix it. no solution!",0.0
ORD228087,ID4884440915,2019-05-25,Thompson,"[('Olivia x460', 2), ('Lucent 330S', 2), ('Universe Note', 2), ('Thunder line', 1)]",13990.0,82.27,-37.79987720000001,144.9350044,0,14072.27,Autumn,True,1.7762,"great device first of all, it comes with all its accessories, the phone quality is great, doesn't lag, camera pretty good, is comfortable not to big not small at all, batterys incredible just one charge per day using it all day long, you can play any game, in conclusion i'll recommend this phone.",1.0
ORD223279,ID0702363497,2019-04-21,Thompson,"[('Universe Note', 2), ('iAssist Line', 1)]",9125.0,66.53,-37.8063149,144.9420464,10,8279.03,Autumn,False,0.8343,"i would recommend it it was like new, no sigh of use. didn't really like the charger because it was too loose. but still love the phone.",1.0
