order_id,customer_id,date,nearest_warehouse,shopping_cart,order_price,delivery_charges,customer_lat,customer_long,coupon_discount,order_total,season,is_expedited_delivery,distance_to_nearest_warehouse,latest_customer_review,is_happy_customer
ORD241994,ID0060097369,2019-09-22,Thompson,"[('iAssist Line', 2), ('Lucent 330S', 2), ('Universe Note', 2)]",13810,82.65,-37.8104058,144.9449218,5,13202.15,Spring,True,0.3152,"okay phone, died way too soon well, i thought it was an okay phone. no frills, but it worked fine and got the job done. except for the fact that here, 5 months later, the phone is dead. i didn't expect it to be an amazing phone, but i did expect it to last at least a year. this is ridiculous.",False
ORD414205,ID3222703108,2019-12-19,Thompson,"[('Toshika 750', 1), ('Candle Inferno', 1), ('iAssist Line', 1), ('Olivia x460', 1)]",8200,78.31,-37.8030141,144.95607859999996,15,7048.31,Summer,False,1.3357,five stars best olivia universe smartphone the eclipse 2017 is awesome good job olivia!!!,True
ORD422050,ID4998966832,2019-07-04,Nickolson,"[('Toshika 750', 2), ('Thunder line', 2), ('Universe Note', 2), ('Alcon 10', 1)]",28850,64.31,-37.809775,144.97240109999996,15,24586.81,Winter,False,1.0133,"it is so handsome cellular phone it is a wonderful cell, that has all what one wants and needs. it is strong, fast, beautiful, powerful, and it is olivia universe note 9. thanks.",True
ORD474642,ID6167231019,2019-05-02,Thompson,"[('Alcon 10', 2), ('Candle Inferno', 1), ('Lucent 330S', 1)]",19560,65.05,-37.815255,144.952372,5,18647.05,Autumn,True,0.5478,glitched alot had issues from the jump,False
ORD007338,ID6167254915,2019-07-06,Nickolson,"[('Toshika 750', 1), ('Olivia x460', 2), ('Candle Inferno', 1), ('Universe Note', 1)]",10650,75.53,-37.8181408,144.9651122,10,9660.53,Winter,True,0.3936,five stars very nice phone,True
ORD469465,ID0224738431,2019-09-29,Bakers,"[('Universe Note', 2), ('Olivia x460', 1)]",8125,100.93,-37.8068758,144.9889895,15,7007.18,Spring,True,0.6497,value great value only downside is you can only use google music doesnt really have a app for music,True
ORD215227,ID0577456465,2019-01-03,Bakers,"[('Lucent 330S', 2), ('Olivia x460', 2), ('Candle Inferno', 1), ('Universe Note', 1)]",8790,82.3,-37.8231189,144.98850190000005,10,7993.3,Summer,False,1.5761,great buy no problems. the phone was fully unlocked.,True
ORD396339,ID3945799027,2019-06-17,Thompson,"[('pearTV', 2), ('iStream', 1), ('iAssist Line', 1), ('Toshika 750', 2)]",23635,77.45,-37.8190477,144.95416830000005,25,17803.7,Winter,True,0.9451,great phone- didn't realize that you have to turn off/on ... great phone- didn't realize that you have to turn off/on to reserve energy (was used to a flip phone),True
ORD149442,ID1131986105,2019-02-16,Thompson,"[('pearTV', 1), ('Lucent 330S', 2), ('iStream', 1), ('Candle Inferno', 2)]",9780,34.315,-37.8149223,144.9451148,15,8347.315,Summer,False,0.3037,"good phone phone came in good condition. my husband gets frustrated with the text format, but that is not the phone's fault!",True
ORD438839,ID3106293107,2019-02-17,Thompson,"[('Toshika 750', 2), ('Candle Inferno', 2)]",9500,101.6,-37.8062681,144.93265300000004,25,7226.6,Summer,True,1.4546,bought it for tbe grandson to play games on. it is ok for that. i have had nook tablets before and i think tbey are a little better than the digico. it does fine for what we bought it for.,True
ORD036028,ID0529158996,2019-12-18,Thompson,"[('iStream', 1), ('Lucent 330S', 2), ('iAssist Line', 2)]",7060,97.6,-37.8236483,144.940564,15,6098.6,Summer,True,1.349,value for money phone is absolutely fabulous. touch screen and screen size is amazing. as mentioned in specification ram and processos are fast. only thing you are not used to use bigger screen phone then you may find it difficult initially to operate this phone.,True
ORD185078,ID0387153086,2019-08-26,Thompson,"[('iStream', 1), ('pearTV', 1)]",6460,76.09,-37.8068369,144.9513796,25,4921.09,Winter,True,0.7522,it works well everything works great. great camera. weak speakers,True
ORD487367,ID0400738487,2019-12-14,Thompson,"[('Universe Note', 2), ('Toshika 750', 2), ('Candle Inferno', 1), ('Lucent 330S', 2)]",18430,91.09,-37.8128407,144.9398968,15,15756.59,Summer,True,0.631,bought this to replace one i had from about 6 years ago. why did i wait so long. the newer models bigger screen is so nice and it's so much faster!,True
ORD229653,ID1132014870,2019-07-31,Thompson,"[('Thunder line', 1), ('Lucent 330S', 2)]",4640,75.79,-37.817823,144.94625109999996,25,3555.79,Winter,True,0.5778,excellent phone excellent phone. beautiful and powerful for a honest price.,True
ORD362257,ID0576863659,2019-03-03,Nickolson,"[('Alcon 10', 2), ('Olivia x460', 2)]",20350,79.98,-37.8237723,144.9867686,5,19412.48,Autumn,True,1.62,extra new i could consider it as xmas gift from the seller lol. it came extra new! i hope it works perfectly for years.,True
ORD216368,ID0554206047,2019-05-10,Thompson,"[('Thunder line', 1), ('pearTV', 1), ('Olivia x460', 1), ('Lucent 330S', 1)]",10945,69.33,-37.7994564,144.9350124,10,9919.83,Autumn,False,1.8136,"worth the money, serious seller the phone was a gift but i got to set it up. looks great. it came in good shape and seems to work smoothly",True
ORD016444,ID0303448821,2019-07-14,Bakers,"[('Olivia x460', 2), ('iStream', 1)]",2600,74.46,-37.824413,145.0154842,15,2284.46,Winter,False,2.3973,great phones great phone. brand new never used. battery life is excellent on medium level power save.,True
ORD251891,ID0298045619,2019-02-09,Nickolson,"[('Olivia x460', 2), ('iStream', 1), ('Candle Inferno', 2)]",3460,90.85,-37.8233855,144.96604399999995,10,3204.85,Summer,True,0.616,"four stars nice phone, above expectations",True
ORD145432,ID3146808059,2019-02-27,Bakers,"[('iStream', 2), ('iAssist Line', 1), ('Alcon 10', 1)]",11475,74.46,-37.8127728,144.98372519999995,5,10975.71,Summer,False,1.0581,i used it to control my smart home devices. works great.,True
